trade_date,block_code,block_name,market,zf,member_stock_cnt,main_grey_capital_in_cnt,main_grey_capital_in,main_grey_pct,main_grey_capital_in_cnt_pct
2026-04-08,885530,黄金概念,48,5.575,81,77,9903316807.796638,11.26,95.06
2026-04-08,886042,存储芯片,48,6.2991,173,163,21589378973.619587,9.82,94.22
2026-04-08,885959,PCB概念,48,6.3546,194,182,21512156712.72116,12.53,93.81
2026-04-08,886058,华为昇腾,48,7.1324,103,96,11868618468.834297,17.52,93.2
2026-04-08,886044,液冷服务器,48,6.2374,191,178,29999510377.097763,12.55,93.19
2026-04-08,886069,人形机器人,48,5.4626,423,393,32389040274.564186,11.96,92.91
2026-04-08,885756,芯片概念,48,5.5607,853,785,90081757774.0991,11.49,92.03
2026-04-08,885918,快手概念,48,7.7012,49,45,6954911992.078602,14.63,91.84
2026-04-08,886078,商业航天,48,5.3935,481,441,43061358318.92478,12.92,91.68
2026-04-08,886068,Sora概念(文生视频),48,7.576,48,44,5375630859.6005745,16.2,91.67
2026-04-08,885640,草甘膦,48,6.0194,19,18,1197737600.774837,24.02,94.74
2026-04-08,885829,丙烯酸,48,5.4588,19,18,1441860609.783688,15.63,94.74
2026-04-08,885398,煤化工概念,48,4.0174,108,97,7482849412.038444,13.18,89.81
2026-04-08,885912,有机硅概念,48,4.3491,49,43,1702301137.2975302,11.24,87.76
2026-04-08,885573,猪肉,48,2.924,32,28,1444015143.0356722,15.55,87.5
2026-04-08,885967,化肥,48,3.9642,74,64,4272440837.436694,11.55,86.49
2026-04-08,885959,PCB概念,48,2.0389,193,156,6535095761.058633,6.06,80.83
2026-04-08,885343,稀土永磁,48,2.0966,63,50,3983366740.992092,11.99,79.37
2026-04-08,885580,足球概念,48,3.4961,37,29,1338996130.4600215,13.23,78.38
2026-04-08,885615,体育产业,48,2.2459,132,100,3041785745.5374284,12.76,75.76
2026-04-08,886054,光刻机,48,2.8371,47,33,2848112719.516355,9.48,70.21
2026-04-08,885998,F5G概念,48,1.8229,36,20,6049094487.282448,7.21,55.56
2026-04-08,886033,共封装光学(CPO),48,2.118,152,83,14364349046.30318,5.6,54.61
2026-04-08,886084,光纤概念,48,1.789,91,48,11410439523.10701,7.78,52.75
2026-04-08,886037,6G概念,48,0.675,94,40,4922480479.9163,4.97,42.55
2026-04-08,886073,铜缆高速连接,48,0.6007,45,19,2634314580.320554,4.91,42.22
2026-04-08,886042,存储芯片,48,-0.4514,173,66,229290091.0945778,0.21,38.15
2026-04-08,885959,PCB概念,48,-0.3492,193,69,2332030916.2505517,2.26,35.75
2026-04-08,885937,培育钻石,48,0.0205,18,6,310839761.11471903,5.92,33.33
2026-04-08,886044,液冷服务器,48,-0.7031,191,62,4613963580.745446,3.09,32.46
2026-04-08,885573,猪肉,48,1.3048,32,22,1042940464.8419006,10.71,68.75
2026-04-08,886015,创新药,48,0.8926,270,164,8670786433.473398,7.08,60.74
2026-04-08,886101,兵装重组概念,48,0.1504,7,4,67103095.28393481,2.38,57.14
2026-04-08,885792,赛马概念,48,2.0114,4,2,199023109.4706057,11.66,50.0
2026-04-08,886084,光纤概念,48,-0.0621,91,39,5040763744.608882,4.07,42.86
2026-04-08,885430,天然气,48,0.165,164,67,5745188483.028354,7.71,40.85
2026-04-08,886033,共封装光学(CPO),48,-2.2277,152,45,472382487.9170645,0.21,29.61
2026-04-08,886032,固态电池,48,-1.6354,287,76,450175453.9802061,0.29,26.48
2026-04-08,885939,海峡两岸,48,-1.5203,309,80,-377128535.13277197,-0.26,25.89
2026-04-08,885936,绿色电力,48,-1.6918,392,92,-6247539312.20165,-3.35,23.47
